Data,DATA_DIA,DIA,Município1,STR_DATA,UF1,Escala de cor,Number of Records,Índice De Isolamento
"Wednesday, 24/06",Wednesday,Quarta-feira,AMERICANA,Ranking dos municípios (24/6/2020),SP,>40-50%,1,44%
"Wednesday, 24/06",Wednesday,Quarta-feira,AMPARO,Ranking dos municípios (24/6/2020),SP,>40-50%,1,40%
"Wednesday, 24/06",Wednesday,Quarta-feira,ARAÇATUBA,Ranking dos municípios (24/6/2020),SP,Até 40%,1,39%
"Wednesday, 24/06",Wednesday,Quarta-feira,ARARAQUARA,Ranking dos municípios (24/6/2020),SP,Até 40%,1,38%
"Wednesday, 24/06",Wednesday,Quarta-feira,ARARAS,Ranking dos municípios (24/6/2020),SP,>40-50%,1,41%
"Wednesday, 24/06",Wednesday,Quarta-feira,ARUJÁ,Ranking dos municípios (24/6/2020),SP,>40-50%,1,43%
"Wednesday, 24/06",Wednesday,Quarta-feira,ASSIS,Ranking dos municípios (24/6/2020),SP,Até 40%,1,40%
"Wednesday, 24/06",Wednesday,Quarta-feira,ATIBAIA,Ranking dos municípios (24/6/2020),SP,>40-50%,1,44%
"Wednesday, 24/06",Wednesday,Quarta-feira,AVARÉ,Ranking dos municípios (24/6/2020),SP,>40-50%,1,43%
"Wednesday, 24/06",Wednesday,Quarta-feira,BARRETOS,Ranking dos municípios (24/6/2020),SP,Até 40%,1,40%
"Wednesday, 24/06",Wednesday,Quarta-feira,BARUERI,Ranking dos municípios (24/6/2020),SP,>40-50%,1,41%
"Wednesday, 24/06",Wednesday,Quarta-feira,BAURU,Ranking dos municípios (24/6/2020),SP,>40-50%,1,42%
"Wednesday, 24/06",Wednesday,Quarta-feira,BEBEDOURO,Ranking dos municípios (24/6/2020),SP,>40-50%,1,48%
"Wednesday, 24/06",Wednesday,Quarta-feira,BIRIGUI,Ranking dos municípios (24/6/2020),SP,>40-50%,1,41%
"Wednesday, 24/06",Wednesday,Quarta-feira,BOTUCATU,Ranking dos municípios (24/6/2020),SP,>40-50%,1,40%
"Wednesday, 24/06",Wednesday,Quarta-feira,BRAGANÇA PAULISTA,Ranking dos municípios (24/6/2020),SP,Até 40%,1,39%
"Wednesday, 24/06",Wednesday,Quarta-feira,CAÇAPAVA,Ranking dos municípios (24/6/2020),SP,>40-50%,1,49%
"Wednesday, 24/06",Wednesday,Quarta-feira,CAIEIRAS,Ranking dos municípios (24/6/2020),SP,>40-50%,1,42%
"Wednesday, 24/06",Wednesday,Quarta-feira,CAJAMAR,Ranking dos municípios (24/6/2020),SP,>40-50%,1,41%
